,precision,recall,f1-score,support
0,0.9841269841269841,0.7654320987654321,0.8611111111111112,972.0
1,0.14285714285714285,0.76,0.24050632911392406,50.0
accuracy,0.7651663405088063,0.7651663405088063,0.7651663405088063,0.7651663405088063
macro avg,0.5634920634920635,0.7627160493827161,0.5508087201125176,1022.0
weighted avg,0.9429689684092815,0.7651663405088063,0.8307488419331664,1022.0
